county_FIPS,Dissimilarity,Spatial_Proximity ,Isolation ,Delta,tract_count,year
12023,0.42767915,1.07648426,0.31022567,0.46095363,12,2013
12027,0.59108458,1.0611511,0.42964108,0.69586273,9,2013
12029,0.52818061,1.03139281,0.19204109,0.74821866,3,2013
12031,0.49995464,1.29650287,0.55461688,0.6011275,173,2013
12033,0.43143917,1.13460603,0.40630015,0.69842596,71,2013
12035,0.23606277,1.01751871,0.15987199,0.7117972,20,2013
12037,0.24733129,1.00930345,0.19762501,0.40496916,4,2013
12039,0.34058775,1.07615166,0.65273127,0.32399157,9,2013
12041,0.63689818,1.09410237,0.14972857,0.71390465,5,2013
12043,0.36099891,1.14233544,0.21888669,0.24599253,3,2013
12045,0.22732804,1.07901854,0.23359096,0.37138257,3,2013
12047,0.21924457,1.05292484,0.4015861,0.17409474,3,2013
12049,0.32368137,0.99923595,0.1288235,0.49874667,6,2013
12051,0.40258841,1.02244147,0.25339387,0.70527892,6,2013
12053,0.42472961,1.0216621,0.12438494,0.62059965,44,2013
12055,0.4191729,1.13189677,0.24714166,0.73817778,24,2013
12057,0.44876584,1.18388137,0.38240334,0.65046416,314,2013
12059,0.49614675,1.04271473,0.11627547,0.66910521,4,2013
12061,0.48894655,1.0603355,0.28211739,0.75502551,29,2013
12063,0.26419987,1.02225261,0.34142697,0.3021968,11,2013
12065,0.06362175,1.00160674,0.38247236,0.36216346,3,2013
12067,0.21820201,1.0703226,0.18442942,0.34559592,2,2013
12069,0.37973566,1.05374289,0.20007357,0.63222426,56,2013
12071,0.61261068,1.24706616,0.3516751,0.71993563,165,2013
12073,0.4075952,1.10615299,0.48816721,0.70882217,68,2013
12075,0.48620974,1.53488489,0.22880406,0.62098034,9,2013
12077,0.30119142,0.93708526,0.24674658,0.58116308,2,2013
12079,0.42068859,1.2150277,0.53850802,0.56488539,5,2013
12081,0.51081196,1.07753076,0.25909002,0.7669942,78,2013
12083,0.47246352,1.15390879,0.31183227,0.67286849,61,2013
12085,0.53237511,1.01458684,0.19156886,0.60217171,34,2013
12086,0.67947454,1.34846165,0.58122726,0.82245465,512,2013
12087,0.46053209,1.03900619,0.14563531,0.88393708,30,2013
12089,0.31632712,1.02957421,0.1013721,0.42176148,12,2013
12091,0.37058521,1.0419089,0.16949401,0.76816939,41,2013
12093,0.51276562,1.08676076,0.2466924,0.52577699,11,2013
12095,0.52328961,1.33721687,0.5001022,0.63343842,206,2013
12097,0.32722529,1.01572726,0.2010877,0.83522162,41,2013
12099,0.53349643,1.14629151,0.45169454,0.76065639,331,2013
12101,0.44875259,1.01943021,0.11097363,0.62536529,133,2013
12103,0.6244569,1.25717409,0.46713599,0.66861243,244,2013
